id,name,address_full,courseA,courseB,courseC,courseD,phone_number,url
1,서울서부,서울시 마포구 월드컵로42길 13,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100971/131169/6442.bmp,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100971/131169/6441.bmp,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100971/131169/10986.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100971/131169/10985.jpg,02-1577-1120,http://dl.koroad.or.kr/PAGE_license/seobuLic/view.jsp?code=103006
2,서울도봉,서울특별시 노원구 동일로 1449,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100976/145366/21702.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100976/145366/21702.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100976/145366/21702.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100976/145366/21702.jpg,02-1577-1120,http://dl.koroad.or.kr/PAGE_license/dobongLic/view.jsp?code=102506
3,서울강남,서울특별시 강남구 테헤란로 114길 23,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100785/143612/19588.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100785/143613/21281.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100785/143614/21283.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100785/143615/21285.jpg,02-1577-1120,http://dl.koroad.or.kr/PAGE_license/gangnamLic/view.jsp?code=102006
4,서울강서,서울특별시 강서구 남부순환로 171,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100979/150758/27631.bmp,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100979/150758/27631.bmp,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100979/150758/27631.bmp,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100979/150758/27631.bmp,02-1577-1120,http://dl.koroad.or.kr/PAGE_license/gangseoLic/view.jsp?code=102206
5,부산북부,부산광역시 사상구 사상로 367번길 35,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100972/150599/27441.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100972/150599/27441.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100972/150600/27442.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100972/150600/27442.jpg,051-310-7600,http://dl.koroad.or.kr/PAGE_license/busanbukbuLic/view.jsp?code=102906
6,인천,인천광역시 남동구 아암대로 1247,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100964/140812/26981.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100964/140812/26981.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100964/140812/26981.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100964/140812/26981.jpg,032-810-2303,http://dl.koroad.or.kr/PAGE_license/incheonLic/view.jsp?code=103706
7,춘천,강원도 춘천시 신북읍 신북로 247,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100959/131165/26412.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100959/131165/26411.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100959/131165/26410.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100959/131165/26409.jpg,033-269-1200,http://dl.koroad.or.kr/PAGE_license/chuncheonLic/view.jsp?code=104206
8,청주,충청북도 청주시 상당구 가덕면 교육원로 131-20,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100960/142493/28659.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100960/142493/28659.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100960/142493/28659.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100960/142493/28659.jpg,043-290-0900,http://dl.koroad.or.kr/PAGE_license/cheongjuLic/view.jsp?code=104106
9,대전,대전광역시 동구 산서로 1660번길 90,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100978/144466/28034.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100978/144466/28033.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100978/144466/28032.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100978/144466/28031.jpg,042-250-3300,http://dl.koroad.or.kr/PAGE_license/daejeonLic/view.jsp?code=102406
10,전북,전북 전주시 덕진구 팔복로 359,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100962/147270/28678.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100962/147270/28677.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100962/147270/28676.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100962/147270/28675.jpg,063-210-3800,http://dl.koroad.or.kr/PAGE_license/jeonbukLic/view.jsp?code=103906
11,전남,전라남도 나주시 내영산2길 49,,,,,061-339-1500,http://dl.koroad.or.kr/PAGE_license/jeonnamLic/view.jsp?code=103806
12,문경,경상북도 문경시 신기공단1길 12,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100974/148594/25366.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100974/148594/25366.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100974/148594/25366.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100974/148594/25366.jpg,054-550-2600,http://dl.koroad.or.kr/PAGE_license/mungyeongLic/view.jsp?code=102706
13,마산,경남 창원시 마산합포구 진동면 진북산업로 90-1,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100975/144189/20242.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100975/144189/20242.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100975/144189/20241.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100975/144189/20241.jpg,055-240-8100,http://dl.koroad.or.kr/PAGE_license/masanLic/view.jsp?code=102606
14,제주(기능),제주특별자치도 제주시 애월읍 평화로 2072,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26388.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26387.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26386.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26385.jpg,064-710-9200,http://dl.koroad.or.kr/PAGE_license/jejuLic/view.jsp?code=104006
15,제주(도로주행),제주시 하귀로21길 30 하귀문화의집,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26388.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26387.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26386.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100961/149581/26385.jpg,064-710-9200,http://dl.koroad.or.kr/PAGE_license/jejuLic/view.jsp?code=104006
16,대구,대구광역시 북구 태암남로 38,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100977/138219/13529.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100977/138219/13529.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100977/138219/13529.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100977/138219/13529.jpg,053-320-2400,http://dl.koroad.or.kr/PAGE_license/daeguLic/view.jsp?code=102306
17,용인,경기 용인시 기흥구 용구대로 2267,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144344/20407.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144345/20408.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/145316/21599.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144346/20409.jpg,031-289-0100,http://dl.koroad.or.kr/PAGE_license/yonginLic/view.jsp?code=103306
18,의정부,경기 의정부시 금오로 109번길 55,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25951.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25951.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25950.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25950.jpg,031-850-8700,http://dl.koroad.or.kr/PAGE_license/uijeongbuLic/view.jsp?code=103606
19,안산,경기 안산 단원구 순환로 352,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20587.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20586.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20585.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20584.jpg,031-490-2800,http://dl.koroad.or.kr/PAGE_license/ansanLic/view.jsp?code=103106
20,강릉,강원도 강릉시 사천면 중앙서로 464,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/19168.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/19167.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/25140.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/25139.jpg,033-640-3200,http://dl.koroad.or.kr/PAGE_license/gangneungLic/view.jsp?code=102106
21,부산남부,부산광역시 남구 용호로 16,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143402/19623.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143403/19624.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143404/19625.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/147223/23843.jpg,051-610-8005,http://dl.koroad.or.kr/PAGE_license/busannambuLic/view.jsp?code=102806
22,포항,경상북도 포항시 남구 냉천로 656,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24295.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24294.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24293.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24292.jpg,054-290-9300,http://dl.koroad.or.kr/PAGE_license/pohangLic/view.jsp?code=104506
23,충주,충북 충주시 대가주1길 16,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/141999/23362.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/141999/23361.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/142000/23364.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/142000/23363.jpg,043-840-4600,http://dl.koroad.or.kr/PAGE_license/chungjuLic/view.jsp?code=104306
24,예산,충남 예산군 오가면 국사봉로 500,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/5749.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/5748.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/6431.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/6430.JPG,041-330-7400,http://dl.koroad.or.kr/PAGE_license/yesanLic/view.jsp?code=103206
25,울산,울산광역시 울주군 상북면 봉화로 342,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,052-255-8700,http://dl.koroad.or.kr/PAGE_license/ulsanLic/view.jsp?code=103406
26,원주,강원도 원주시 호저면 사제로 596,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26525.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26525.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26524.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26524.jpg,033-737-0600,http://dl.koroad.or.kr/PAGE_license/wonjuLic/view.jsp?code=103506
27,태백,강원도 태백시 수아밭길 166,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18506.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18505.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18504.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18503.jpg,033-550-5700,http://dl.koroad.or.kr/PAGE_license/taebaekLic/view.jsp?code=104406
28,광양,전라남도 광양시 광양읍 대학로 11,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24686.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24685.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24684.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24683.jpg,061-760-1600,http://dl.koroad.or.kr/PAGE_license/gwangyangLic/view.jsp?code=210888
